"Statistic Label","Month","Detailed Sub Indices","UNIT","VALUE"
"Consumer Price Index","2015 February","Soft drinks","Base Dec 2023=100","81.6"
"Consumer Price Index","2015 February","Fruit and vegetable juices","Base Dec 2023=100","89.4"
"Consumer Price Index","2015 March","All items","Base Dec 2023=100","82.8"
"Consumer Price Index","2015 March","Food and non-alcoholic beverages","Base Dec 2023=100","90.7"
"Consumer Price Index","2015 March","Food","Base Dec 2023=100","90.8"
"Consumer Price Index","2015 March","Bread and cereals","Base Dec 2023=100","89.6"
"Consumer Price Index","2015 March","Rice","Base Dec 2023=100","106.5"
"Consumer Price Index","2015 March","Flours and other cereals","Base Dec 2023=100","91.8"
"Consumer Price Index","2015 March","Bread","Base Dec 2023=100","81.4"
"Consumer Price Index","2015 March","Other bakery products","Base Dec 2023=100","90.8"
"Consumer Price Index","2015 March","Pizza and quiche","Base Dec 2023=100","106.6"
"Consumer Price Index","2015 March","Pasta products and couscous","Base Dec 2023=100","81.2"
"Consumer Price Index","2015 March","Breakfast cereals","Base Dec 2023=100","97.8"
"Consumer Price Index","2015 March","Other cereal products","Base Dec 2023=100","99.5"
"Consumer Price Index","2015 March","Meat","Base Dec 2023=100","92.4"
"Consumer Price Index","2015 March","Beef and veal","Base Dec 2023=100","98.6"
"Consumer Price Index","2015 March","Pork","Base Dec 2023=100","93.9"
"Consumer Price Index","2015 March","Lamb and goat","Base Dec 2023=100","88"
"Consumer Price Index","2015 March","Poultry","Base Dec 2023=100","90.5"
"Consumer Price Index","2015 March","Edible offal","Base Dec 2023=100","96.5"
"Consumer Price Index","2015 March","Dried, salted or smoked meat","Base Dec 2023=100","90.5"
"Consumer Price Index","2015 March","Other meat preparations","Base Dec 2023=100","93.5"
"Consumer Price Index","2015 March","Fish","Base Dec 2023=100","96.5"
"Consumer Price Index","2015 March","Fresh or chilled fish","Base Dec 2023=100","91.7"
"Consumer Price Index","2015 March","Frozen fish","Base Dec 2023=100","103.6"
"Consumer Price Index","2015 March","Fresh or chilled seafood","Base Dec 2023=100","113.7"
"Consumer Price Index","2015 March","Dried, smoked or salted fish and seafood","Base Dec 2023=100","86.2"
"Consumer Price Index","2015 March","Other preserved or processed fish and seafood-based preparations","Base Dec 2023=100","102.2"
"Consumer Price Index","2015 March","Milk, cheese and eggs","Base Dec 2023=100","86.2"
"Consumer Price Index","2015 March","Fresh whole milk","Base Dec 2023=100","78.5"
"Consumer Price Index","2015 March","Fresh low fat milk","Base Dec 2023=100","82.7"
"Consumer Price Index","2015 March","Yoghurt","Base Dec 2023=100","79.1"
"Consumer Price Index","2015 March","Cheese and curd","Base Dec 2023=100","103.8"
"Consumer Price Index","2015 March","Other milk products","Base Dec 2023=100","88.6"
"Consumer Price Index","2015 March","Eggs","Base Dec 2023=100","89.1"
"Consumer Price Index","2015 March","Oils and fats","Base Dec 2023=100","75.4"
"Consumer Price Index","2015 March","Butter","Base Dec 2023=100","72.7"
"Consumer Price Index","2015 March","Margarine and other vegetable fats","Base Dec 2023=100","74.4"
"Consumer Price Index","2015 March","Olive oil","Base Dec 2023=100","81"
"Consumer Price Index","2015 March","Other edible oils","Base Dec 2023=100","85.4"
"Consumer Price Index","2015 March","Fruit","Base Dec 2023=100","90.8"
"Consumer Price Index","2015 March","Fresh or chilled fruit","Base Dec 2023=100","89.2"
"Consumer Price Index","2015 March","Dried fruit and nuts","Base Dec 2023=100","104.4"
"Consumer Price Index","2015 March","Preserved fruit and fruit-based products","Base Dec 2023=100","71.8"
"Consumer Price Index","2015 March","Vegetables","Base Dec 2023=100","89.6"
"Consumer Price Index","2015 March","Fresh or chilled vegetables other than potatoes and other tubers","Base Dec 2023=100","94.1"
"Consumer Price Index","2015 March","Frozen vegetables other than potatoes and other tubers","Base Dec 2023=100","97.6"
"Consumer Price Index","2015 March","Dried vegetables, other preserved or processed vegetables","Base Dec 2023=100","97.4"
"Consumer Price Index","2015 March","Potatoes","Base Dec 2023=100","77.5"
"Consumer Price Index","2015 March","Crisps","Base Dec 2023=100","87.3"
"Consumer Price Index","2015 March","Sugar, jam, honey, chocolate and confectionery","Base Dec 2023=100","100.9"
"Consumer Price Index","2015 March","Sugar","Base Dec 2023=100","67.5"
"Consumer Price Index","2015 March","Jams, marmalades and honey","Base Dec 2023=100","114"
"Consumer Price Index","2015 March","Chocolate","Base Dec 2023=100","101.4"
"Consumer Price Index","2015 March","Confectionery products","Base Dec 2023=100","92.7"
"Consumer Price Index","2015 March","Edible ices and ice cream","Base Dec 2023=100","118.2"
"Consumer Price Index","2015 March","Artifical sugar substitutes","Base Dec 2023=100","98.1"
"Consumer Price Index","2015 March","Food products n.e.c.","Base Dec 2023=100","86.9"
"Consumer Price Index","2015 March","Sauces and condiments","Base Dec 2023=100","89.2"
"Consumer Price Index","2015 March","Salt, spices and culinary herbs","Base Dec 2023=100","89.7"
"Consumer Price Index","2015 March","Baby food","Base Dec 2023=100","81.2"
"Consumer Price Index","2015 March","Ready-made meals","Base Dec 2023=100","88.3"
"Consumer Price Index","2015 March","Other food products n.e.c.","Base Dec 2023=100","82.1"
"Consumer Price Index","2015 March","Non-alcoholic beverages","Base Dec 2023=100","90.2"
"Consumer Price Index","2015 March","Coffee, tea and cocoa","Base Dec 2023=100","98.3"
"Consumer Price Index","2015 March","Coffee","Base Dec 2023=100","99.6"
"Consumer Price Index","2015 March","Tea","Base Dec 2023=100","96.7"
"Consumer Price Index","2015 March","Cocoa and powdered chocolate","Base Dec 2023=100","122.4"
"Consumer Price Index","2015 March","Mineral waters, soft drinks, fruit and vegetable juices","Base Dec 2023=100","87.1"
"Consumer Price Index","2015 March","Mineral or spring waters","Base Dec 2023=100","88.1"
"Consumer Price Index","2015 March","Soft drinks","Base Dec 2023=100","82.5"
"Consumer Price Index","2015 March","Fruit and vegetable juices","Base Dec 2023=100","89.4"
"Consumer Price Index","2015 April","All items","Base Dec 2023=100","82.8"
"Consumer Price Index","2015 April","Food and non-alcoholic beverages","Base Dec 2023=100","90.9"
"Consumer Price Index","2015 April","Food","Base Dec 2023=100","91.1"
"Consumer Price Index","2015 April","Bread and cereals","Base Dec 2023=100","91"
"Consumer Price Index","2015 April","Rice","Base Dec 2023=100","107.9"
"Consumer Price Index","2015 April","Flours and other cereals","Base Dec 2023=100","92.2"
"Consumer Price Index","2015 April","Bread","Base Dec 2023=100","81.3"
"Consumer Price Index","2015 April","Other bakery products","Base Dec 2023=100","91.7"
"Consumer Price Index","2015 April","Pizza and quiche","Base Dec 2023=100","119.4"
"Consumer Price Index","2015 April","Pasta products and couscous","Base Dec 2023=100","82.5"
"Consumer Price Index","2015 April","Breakfast cereals","Base Dec 2023=100","101"
"Consumer Price Index","2015 April","Other cereal products","Base Dec 2023=100","94.3"
"Consumer Price Index","2015 April","Meat","Base Dec 2023=100","92.1"
"Consumer Price Index","2015 April","Beef and veal","Base Dec 2023=100","98.7"
"Consumer Price Index","2015 April","Pork","Base Dec 2023=100","90.8"
"Consumer Price Index","2015 April","Lamb and goat","Base Dec 2023=100","91.9"
"Consumer Price Index","2015 April","Poultry","Base Dec 2023=100","90.2"
"Consumer Price Index","2015 April","Edible offal","Base Dec 2023=100","96.6"
"Consumer Price Index","2015 April","Dried, salted or smoked meat","Base Dec 2023=100","90"
"Consumer Price Index","2015 April","Other meat preparations","Base Dec 2023=100","93"
"Consumer Price Index","2015 April","Fish","Base Dec 2023=100","92.9"
"Consumer Price Index","2015 April","Fresh or chilled fish","Base Dec 2023=100","84.5"
"Consumer Price Index","2015 April","Frozen fish","Base Dec 2023=100","102.8"
"Consumer Price Index","2015 April","Fresh or chilled seafood","Base Dec 2023=100","114"
"Consumer Price Index","2015 April","Dried, smoked or salted fish and seafood","Base Dec 2023=100","84.9"
"Consumer Price Index","2015 April","Other preserved or processed fish and seafood-based preparations","Base Dec 2023=100","100.2"
"Consumer Price Index","2015 April","Milk, cheese and eggs","Base Dec 2023=100","85.8"
"Consumer Price Index","2015 April","Fresh whole milk","Base Dec 2023=100","78.5"
"Consumer Price Index","2015 April","Fresh low fat milk","Base Dec 2023=100","82.8"
"Consumer Price Index","2015 April","Yoghurt","Base Dec 2023=100","80.2"
"Consumer Price Index","2015 April","Cheese and curd","Base Dec 2023=100","100.3"
"Consumer Price Index","2015 April","Other milk products","Base Dec 2023=100","88.7"
"Consumer Price Index","2015 April","Eggs","Base Dec 2023=100","89.5"
"Consumer Price Index","2015 April","Oils and fats","Base Dec 2023=100","75.2"
"Consumer Price Index","2015 April","Butter","Base Dec 2023=100","71.8"
"Consumer Price Index","2015 April","Margarine and other vegetable fats","Base Dec 2023=100","75.4"
"Consumer Price Index","2015 April","Olive oil","Base Dec 2023=100","80.9"
"Consumer Price Index","2015 April","Other edible oils","Base Dec 2023=100","84.5"
"Consumer Price Index","2015 April","Fruit","Base Dec 2023=100","91.2"
"Consumer Price Index","2015 April","Fresh or chilled fruit","Base Dec 2023=100","89.4"
"Consumer Price Index","2015 April","Dried fruit and nuts","Base Dec 2023=100","106.4"
"Consumer Price Index","2015 April","Preserved fruit and fruit-based products","Base Dec 2023=100","72.7"
"Consumer Price Index","2015 April","Vegetables","Base Dec 2023=100","89.5"
"Consumer Price Index","2015 April","Fresh or chilled vegetables other than potatoes and other tubers","Base Dec 2023=100","94"
"Consumer Price Index","2015 April","Frozen vegetables other than potatoes and other tubers","Base Dec 2023=100","97.2"
"Consumer Price Index","2015 April","Dried vegetables, other preserved or processed vegetables","Base Dec 2023=100","97.8"
"Consumer Price Index","2015 April","Potatoes","Base Dec 2023=100","75.1"
"Consumer Price Index","2015 April","Crisps","Base Dec 2023=100","90.4"
"Consumer Price Index","2015 April","Sugar, jam, honey, chocolate and confectionery","Base Dec 2023=100","104.8"
"Consumer Price Index","2015 April","Sugar","Base Dec 2023=100","67.2"
"Consumer Price Index","2015 April","Jams, marmalades and honey","Base Dec 2023=100","113.5"
"Consumer Price Index","2015 April","Chocolate","Base Dec 2023=100","111.4"
"Consumer Price Index","2015 April","Confectionery products","Base Dec 2023=100","94.2"
"Consumer Price Index","2015 April","Edible ices and ice cream","Base Dec 2023=100","115.9"
"Consumer Price Index","2015 April","Artifical sugar substitutes","Base Dec 2023=100","96.9"
"Consumer Price Index","2015 April","Food products n.e.c.","Base Dec 2023=100","87.3"
"Consumer Price Index","2015 April","Sauces and condiments","Base Dec 2023=100","89.2"
"Consumer Price Index","2015 April","Salt, spices and culinary herbs","Base Dec 2023=100","88.6"
"Consumer Price Index","2015 April","Baby food","Base Dec 2023=100","80.7"
"Consumer Price Index","2015 April","Ready-made meals","Base Dec 2023=100","88.3"
"Consumer Price Index","2015 April","Other food products n.e.c.","Base Dec 2023=100","83.8"
"Consumer Price Index","2015 April","Non-alcoholic beverages","Base Dec 2023=100","88.3"
"Consumer Price Index","2015 April","Coffee, tea and cocoa","Base Dec 2023=100","100.7"
"Consumer Price Index","2015 April","Coffee","Base Dec 2023=100","105.2"
"Consumer Price Index","2015 April","Tea","Base Dec 2023=100","98"
"Consumer Price Index","2015 April","Cocoa and powdered chocolate","Base Dec 2023=100","110.7"
"Consumer Price Index","2015 April","Mineral waters, soft drinks, fruit and vegetable juices","Base Dec 2023=100","84.4"
"Consumer Price Index","2015 April","Mineral or spring waters","Base Dec 2023=100","85.7"
"Consumer Price Index","2015 April","Soft drinks","Base Dec 2023=100","78.7"
"Consumer Price Index","2015 April","Fruit and vegetable juices","Base Dec 2023=100","89.5"
"Consumer Price Index","2015 May","All items","Base Dec 2023=100","83.1"
"Consumer Price Index","2015 May","Food and non-alcoholic beverages","Base Dec 2023=100","91"
"Consumer Price Index","2015 May","Food","Base Dec 2023=100","91.1"
"Consumer Price Index","2015 May","Bread and cereals","Base Dec 2023=100","89.2"
"Consumer Price Index","2015 May","Rice","Base Dec 2023=100","108.5"
"Consumer Price Index","2015 May","Flours and other cereals","Base Dec 2023=100","90.2"
"Consumer Price Index","2015 May","Bread","Base Dec 2023=100","81.2"
"Consumer Price Index","2015 May","Other bakery products","Base Dec 2023=100","90.4"
"Consumer Price Index","2015 May","Pizza and quiche","Base Dec 2023=100","104.3"
"Consumer Price Index","2015 May","Pasta products and couscous","Base Dec 2023=100","78.6"
"Consumer Price Index","2015 May","Breakfast cereals","Base Dec 2023=100","98.6"
"Consumer Price Index","2015 May","Other cereal products","Base Dec 2023=100","101"
"Consumer Price Index","2015 May","Meat","Base Dec 2023=100","92.3"
"Consumer Price Index","2015 May","Beef and veal","Base Dec 2023=100","100.3"
"Consumer Price Index","2015 May","Pork","Base Dec 2023=100","93.8"
"Consumer Price Index","2015 May","Lamb and goat","Base Dec 2023=100","88"
"Consumer Price Index","2015 May","Poultry","Base Dec 2023=100","89.9"
"Consumer Price Index","2015 May","Edible offal","Base Dec 2023=100","96.4"
"Consumer Price Index","2015 May","Dried, salted or smoked meat","Base Dec 2023=100","90.8"
"Consumer Price Index","2015 May","Other meat preparations","Base Dec 2023=100","91.1"
"Consumer Price Index","2015 May","Fish","Base Dec 2023=100","93.4"
"Consumer Price Index","2015 May","Fresh or chilled fish","Base Dec 2023=100","86.1"
"Consumer Price Index","2015 May","Frozen fish","Base Dec 2023=100","102.4"
"Consumer Price Index","2015 May","Fresh or chilled seafood","Base Dec 2023=100","113.5"
"Consumer Price Index","2015 May","Dried, smoked or salted fish and seafood","Base Dec 2023=100","86.2"
"Consumer Price Index","2015 May","Other preserved or processed fish and seafood-based preparations","Base Dec 2023=100","99.3"
"Consumer Price Index","2015 May","Milk, cheese and eggs","Base Dec 2023=100","86.2"
"Consumer Price Index","2015 May","Fresh whole milk","Base Dec 2023=100","78.5"
"Consumer Price Index","2015 May","Fresh low fat milk","Base Dec 2023=100","82.9"
"Consumer Price Index","2015 May","Yoghurt","Base Dec 2023=100","80.3"
"Consumer Price Index","2015 May","Cheese and curd","Base Dec 2023=100","101.8"
"Consumer Price Index","2015 May","Other milk products","Base Dec 2023=100","90.4"
"Consumer Price Index","2015 May","Eggs","Base Dec 2023=100","89.5"
"Consumer Price Index","2015 May","Oils and fats","Base Dec 2023=100","75.6"
"Consumer Price Index","2015 May","Butter","Base Dec 2023=100","72.5"
"Consumer Price Index","2015 May","Margarine and other vegetable fats","Base Dec 2023=100","74.7"
"Consumer Price Index","2015 May","Olive oil","Base Dec 2023=100","82.1"
"Consumer Price Index","2015 May","Other edible oils","Base Dec 2023=100","85.7"
"Consumer Price Index","2015 May","Fruit","Base Dec 2023=100","91.7"
"Consumer Price Index","2015 May","Fresh or chilled fruit","Base Dec 2023=100","89.8"
"Consumer Price Index","2015 May","Dried fruit and nuts","Base Dec 2023=100","106.6"
"Consumer Price Index","2015 May","Preserved fruit and fruit-based products","Base Dec 2023=100","73.7"
"Consumer Price Index","2015 May","Vegetables","Base Dec 2023=100","89.8"
"Consumer Price Index","2015 May","Fresh or chilled vegetables other than potatoes and other tubers","Base Dec 2023=100","94.2"
"Consumer Price Index","2015 May","Frozen vegetables other than potatoes and other tubers","Base Dec 2023=100","97.2"
"Consumer Price Index","2015 May","Dried vegetables, other preserved or processed vegetables","Base Dec 2023=100","99.2"
"Consumer Price Index","2015 May","Potatoes","Base Dec 2023=100","75.3"
"Consumer Price Index","2015 May","Crisps","Base Dec 2023=100","90"
"Consumer Price Index","2015 May","Sugar, jam, honey, chocolate and confectionery","Base Dec 2023=100","106"
"Consumer Price Index","2015 May","Sugar","Base Dec 2023=100","67.4"
"Consumer Price Index","2015 May","Jams, marmalades and honey","Base Dec 2023=100","113.7"
"Consumer Price Index","2015 May","Chocolate","Base Dec 2023=100","113.6"
"Consumer Price Index","2015 May","Confectionery products","Base Dec 2023=100","94"
"Consumer Price Index","2015 May","Edible ices and ice cream","Base Dec 2023=100","118"
"Consumer Price Index","2015 May","Artifical sugar substitutes","Base Dec 2023=100","96.6"
"Consumer Price Index","2015 May","Food products n.e.c.","Base Dec 2023=100","87.6"
"Consumer Price Index","2015 May","Sauces and condiments","Base Dec 2023=100","89.7"
"Consumer Price Index","2015 May","Salt, spices and culinary herbs","Base Dec 2023=100","88.7"
"Consumer Price Index","2015 May","Baby food","Base Dec 2023=100","81.2"
"Consumer Price Index","2015 May","Ready-made meals","Base Dec 2023=100","87.9"
"Consumer Price Index","2015 May","Other food products n.e.c.","Base Dec 2023=100","84.9"
"Consumer Price Index","2015 May","Non-alcoholic beverages","Base Dec 2023=100","89.4"
"Consumer Price Index","2015 May","Coffee, tea and cocoa","Base Dec 2023=100","100.9"
"Consumer Price Index","2015 May","Coffee","Base Dec 2023=100","101.8"
"Consumer Price Index","2015 May","Tea","Base Dec 2023=100","99.7"
"Consumer Price Index","2015 May","Cocoa and powdered chocolate","Base Dec 2023=100","123.9"
